Sourcerecord id,"Source Title (Medline-sourced journals are indicated in Green)
Titles indicated in bold red do not meet the Scopus quality criteria anymore and therefore Scopus discontinued the forward capturing",Print-ISSN,E-ISSN,2017 CiteScore,"2017
SJR","2017
SNIP"
21100198457,ACM Communications in Computer Algebra,19322232,,0.24,0.132,0.441
23038,ACM Computing Surveys,3600300,,11.53,1.631,5.783
19700201136,ACM Inroads,21532184,21532192,0.45,0.219,0.551
145466,ACM Journal on Educational Resources in Computing,15314278,,,,
4700152798,ACM Journal on Emerging Technologies in Computing Systems,15504832,,1.91,0.308,0.872
19700185000,ACM SIGPLAN Notices,15232867,,1.78,0.358,1.502
19700186855,ACM Transactions on Accessible Computing,19367228,,2.34,0.246,1.18
4700153006,ACM Transactions on Algorithms,15496325,,2.11,0.804,1.701
12100154833,ACM Transactions on Applied Perception,15443558,15443965,1.54,0.281,1.033
21100784666,ACM Transactions on Asian and Low-Resource Language Information Processing,23754699,23754702,0.59,0.103,1.14
26798,ACM Transactions on Asian Language Information Processing,15300226,,,0.17,1.287
4800153205,ACM Transactions on Autonomous and Adaptive Systems,15564665,,2.64,0.487,1.649
19700166602,ACM Transactions on Computation Theory,19423454,,1.54,0.546,1.048
23051,ACM Transactions on Computational Logic,15293785,,1.72,0.573,1.607
12213,ACM Transactions on Computer Systems,7342071,,8.44,1.438,4.447
26199,ACM Transactions on Computer-Human Interaction,10730516,,3.27,0.301,1.858
19700183047,ACM Transactions on Computing Education,,19466226,2.97,0.691,3.405
13044,ACM Transactions on Database Systems,3625915,,2.57,0.742,1.848
18662,ACM Transactions on Design Automation of Electronic Systems,10844309,,1.43,0.287,0.838
21100853526,ACM Transactions on Economics and Computation,21678375,21678383,1.46,0.154,0.964
24972,ACM Transactions on Graphics,7300301,,6.42,1.344,2.841
28875,ACM Transactions on Information and System Security,10949224,,4.5,0.729,5.102
18997,ACM Transactions on Information Systems,10468188,,3.37,0.563,2.151
19700190323,ACM Transactions on Intelligent Systems and Technology,21576904,21576912,4.88,0.874,2.561
15773,ACM Transactions on Internet Technology,15335399,,2.82,0.427,1.62
5800173377,ACM Transactions on Knowledge Discovery from Data,15564681,,3.25,0.673,1.758
21100200804,ACM Transactions on Management Information Systems,2158656X,,2.41,0.591,1.611
18120,ACM Transactions on Mathematical Software,983500,,3.94,1.23,3.129
23054,ACM Transactions on Modeling and Computer Simulation,10493301,,1.41,0.46,1.151
4700151918,"ACM Transactions on Multimedia Computing, Communications and Applications",15516857,,2.68,0.408,1.219
35263,ACM Transactions on Office Information Systems,7342047,,,,
21100832567,ACM Transactions on Privacy and Security,24712566,24712574,,,
27836,ACM Transactions on Programming Languages and Systems,1640925,,2.62,0.533,1.923
21100217640,ACM Transactions on Reconfigurable Technology and Systems,19367406,19367414,1.86,0.282,1.282
4700152843,ACM Transactions on Sensor Networks,15504859,,3.12,0.457,1.467
18121,ACM Transactions on Software Engineering and Methodology,1049331X,,3.5,0.494,2.35
21100857591,ACM Transactions on Spatial Algorithms and Systems,23740353,23740361,,,
4700152720,ACM Transactions on Speech and Language Processing,15504875,,,,
4700152858,ACM Transactions on Storage,15533077,,2.26,0.308,1.651
5800207369,ACM Transactions on the Web,15591131,1559114X,2.65,0.426,1.925
14979,ACME,,14929732,1.55,0.851,1.006
21513,ACOG Clinical Review,10856862,,,,
67637,ACOG committee opinion,1074861X,,,,
14400154708,ACOG Current Journal Review,8971471,,,,
5200152618,ACORN,14487535,,0.25,0.198,0.392
12940,Acoustic Research Letters Online,15297853,,,,
12922,Acoustical Physics,10637710,15626865,0.85,0.359,1.098
12935,Acoustical Science and Technology,13463969,13475177,0.48,0.224,0.656
60455,Acoustics Australia,8146039,,0.98,0.232,0.817
12938,Acoustics Bulletin,0308437X,,0.01,0.1,0
12939,Acoustics Letters,1401599,,,,
21514,ACP journal club,10568751,,,,
5000154501,Acquisitions Librarian,8963576,1544435X,,,
21100862481,ACRN Journal of Finance and Risk Perspectives,,23057394,,,
20956,Acrocephalus,3512851,,0.21,0.112,0.268
5800207808,Across Languages and Cultures,15851923,15882519,0.34,0.484,1.25
19700171101,ACS Applied Materials & Interfaces,19448244,19448252,8.15,2.784,1.543
21100461927,ACS Biomaterial Science and Engineering,,23739878,4.37,1.417,1.054
19700188320,ACS Catalysis,,21555435,11.49,4.921,2.113
21100824912,ACS Central Science,23747943,23747951,6.55,5.022,2.01
5300152227,ACS Chemical Biology,15548929,15548937,4.59,2.57,1.119
19700172804,ACS Chemical Neuroscience,19487193,,3.89,1.442,0.977
19700186746,ACS Combinatorial Science,21568952,21568944,3.17,1.049,0.907
21100854624,ACS Earth and Space Chemistry,,24723452,,,
21100832985,ACS Energy Letters,,23808195,10.24,5.991,1.264
21100461918,ACS Infectious Diseases,,23738227,3.7,1.618,1.074
21100209317,ACS Macro Letters,,21611653,6.03,2.486,1.349
19700177127,ACS Medicinal Chemistry Letters,,19485875,3.47,1.388,0.98
11500153511,ACS Nano,19360851,1936086X,14.29,7.203,2.58
21100828963,ACS Omega,,24701343,2.02,0.749,0.524
21100368207,ACS Photonics,,23304022,7.03,3.376,1.714
21100824897,ACS Sensors,,23793694,5.42,1.895,1.241
21100248891,ACS Sustainable Chemistry & Engineering,,21680485,6.45,1.657,1.369
22180,ACS Symposium Series,976156,,0.35,0.189,0.154
21100218506,ACS Synthetic Biology,,21615063,4.86,2.625,1.107
27076,ACSM Bulletin,7479417,,,,
27566,ACSM's Health and Fitness Journal,10915397,,0.27,0.207,0.292
19400157885,Acta - Unio Internationalis Contra Cancrum,3653056,,,,
14011,Acta Academiae Medicinae Hubei,1000243X,,,,
31747,Acta Academiae Medicinae Primae Shanghai,2533650,,,,
33860,Acta Academiae Medicinae Sichuan,2534290,,,,
99327,Acta Academiae Medicinae Wuhan,2533316,,,,
19700202712,Acta Academica,5872405,,0.22,0.124,0.471
12941,Acta Acustica united with Acustica,16101928,,1.28,0.472,0.982
21100296234,Acta ad Archaeologiam et Artium Historiam Pertinentia,650900,,,0.103,0
29731,Acta Adriatica,15113,18460453,0.77,0.299,0.657
35770,Acta Agriculturae Scandinavica - Section A: Animal Science,9064702,16511972,0.51,0.287,0.653
51952,Acta Agriculturae Scandinavica - Section B Soil and Plant Science,9064710,16511913,0.95,0.414,0.747
12000154412,Acta Agriculturae Slovenica,15819175,,0.28,0.159,0.356
21100439337,Acta Agrobotanica,650951,2300357X,0.4,0.173,0.307
65755,Acta Agronomica,1202812,,0.24,0.146,0.303
14291,Acta Agronomica Hungarica,2380161,,,,
12300154708,Acta Agronomica Sinica,18752780,,,,
21100838400,Acta Agronomica Sinica(China),4963490,,0.59,0.223,0.314
20860,Acta Alimentaria,1393006,,0.33,0.182,0.169
37342,Acta Allergologica,15148,,,,
19400158041,Acta allergologica. Supplementum,0065096X,,,,
18748,Acta Amazonica,445967,,0.99,0.36,0.831
54975,Acta anaesthesiologica,15156,,,,
21395,Acta Anaesthesiologica Belgica,15164,,0.79,0.294,0.445
84781,Acta Anaesthesiologica Italica,3744965,,,,
21396,Acta Anaesthesiologica Italica / Anaesthesia and Intensive Care in Italy,11248882,,,,
21397,Acta Anaesthesiologica Scandinavica,15172,13996576,2.25,1.139,1.185
33450,"Acta Anaesthesiologica Scandinavica, Supplement",5152720,,,,
79504,Acta Anaesthesiologica Sinica,5295769,,,,
21914,Acta Anaesthesiologica Taiwanica,18754597,,,,
19400158711,Acta Analytica,3535150,,0.28,0.367,0.565
36594,Acta Anatomica,15180,,,,
4000151906,Acta Anatomica Sinica,5291356,,0.07,0.13,0.09
144841,Acta Angiologica,1234950X,16443276,0.07,0.113,0.051
28295,Acta Antiqua Academiae Scientiarum Hungaricae,445975,15882543,0.02,0.1,0
24099,Acta Applicandae Mathematicae,1678019,15729036,0.9,0.675,0.872
69489,Acta Arachnologica,15202,,0.25,0.176,0.346
16400154717,Acta Archaeologica,0065101X,16000390,0.21,0.175,0.187
7100153130,Acta Archaeologica Academiae Scientiarum Hungaricae,15210,15882551,0.06,0.139,0.18
21100826812,Acta Archaeologica Lodziensia,650986,24510300,0,0.102,0
24100,Acta Arithmetica,651036,,0.55,0.68,1.04
12372,Acta Astronautica,945765,,2.26,0.758,1.49
26624,Acta Astronomica,15237,,2.96,1.746,1.085
21100813726,Acta Baltica Historiae et Philosophiae Scientiarum,22282009,22282017,0.15,0.13,0.126
5800207671,Acta Baltico-Slavica,651044,,0.02,0.1,0
60556,Acta Belgica de Arte Medicinali et Pharmaceutica Militari,4003977,,,,
56435,Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae,7760353,,,,
67474,Acta Belgica Medica Physica,7715684,,,,
76668,Acta Biochimica et Biophysica Academiae Scientiarum Hungaricae,15253,,,,
38121,Acta Biochimica et Biophysica Hungarica,2376261,,,,
51013,Acta Biochimica et Biophysica Sinica,16729145,17457270,2.12,0.79,0.572
14349,Acta Biochimica et Biophysica Sinica,5829879,,,,
16753,Acta Biochimica Polonica,0001527X,1734154X,1.42,0.528,0.502
10600153355,Acta Bioethica,7175906,1726569X,0.14,0.196,0.254
72110,Acta Biologiae Experimentalis,3650820,,,,
71010,Acta Biologica Academiae Scientiarum Hungaricae,15288,,,,
98581,Acta Biologica Benrodis,1779214,,,,
17600155203,Acta Biologica Colombiana,0120548X,,0.54,0.203,0.387
16199,Acta Biologica Cracoviensia Series Botanica,15296,,0.89,0.323,0.616
4800152307,Acta Biologica Cracoviensia Series Zoologia,0001530X,,,,
35157,Acta Biologica et Medica Germanica,15318,,,,
12453,Acta Biologica Hungarica,2365383,,0.51,0.226,0.278
87723,Acta Biologica Szegediensis,1588385X,15884082,0.46,0.178,0.334
3300147809,Acta Biomaterialia,17427061,,6.97,1.967,1.815
28021,Acta Biomedica de l'Ateneo Parmense,3924203,,0.58,0.224,0.334
16755,Acta Bioquimica Clinica Latinoamericana,3252957,,,0.122,0.145
75614,Acta Biotechnologica,1384988,,,,
12456,Acta Biotheoretica,15342,15728358,0.8,0.284,0.81
19700181417,Acta Borealia,8003831,1503111X,0.54,0.242,0.681
4800153106,Acta Botanica Brasilica,1023306,,0.88,0.325,0.625
16201,Acta Botanica Croatica,3650588,,0.84,0.26,0.689
16206,Acta Botanica Fennica,15369,,,,
16208,Acta Botanica Gallica,12538078,21663408,,,
16209,Acta Botanica Hungarica,2366495,15882578,0.81,0.627,0.584
16636,Acta Botanica Malacitana,2109506,,,,
19200156903,Acta Botanica Mexicana,1877151,,0.47,0.212,0.365
64107,Acta Botanica Neerlandica,445983,,,,
17923,Acta Botanica Sinica,5777496,,,,
17600155121,Acta Botanica Venezuelica,845906,,0.08,0.103,0.048
