"ISSN","T.tulo","Estrato","Area"
"00414727","TWORCZOSC","B5","letras_linguistica"
"18067921","UEG EM REVISTA","C ","letras_linguistica"
"20469144","UK COGNITIVE LINGUISTICS ASSOCIATION (UK-CLA)","B2","letras_linguistica"
"16987950","UNIVERSITAS. REVISTA DE FILOSOF�A, DERECHO Y POL�TICA","B5","letras_linguistica"
"15249549","UNIVERSITY OF PENNSYLVANIA. WORKING PAPERS IN LINGUISTICS (ONLINE)","B2","letras_linguistica"
"16986083","UNIVERSOS (VAL�NCIA)","B2","letras_linguistica"
"24213365","UTSANGA","B5","letras_linguistica"
"14152533","VEREDAS - REVISTA DE ESTUDOS LINGU�STICOS","B1","letras_linguistica"
"05067294","VERGILIUS","B2","letras_linguistica"
"16459652","VIA PANORAMICA: REVISTA ELECTRONICA DE ESTUDOS ANGLO-AMERICANOS","C ","letras_linguistica"
"16464728","VIA PANOR�MICA: REVISTA ELECTR�NICA DE ESTUDOS ANGLO-AMERICANOS","C ","letras_linguistica"
"15180336","V�NCULO (UNIMONTES)","C ","letras_linguistica"
"19277806","VITA TRADUCTIVA","C ","letras_linguistica"
"24690767","VIVOMATOGRAF�AS. REVISTA DE ESTUDIOS SOBRE PRECINE Y CINE SILENTE EN LATINOAM�RICA","C ","letras_linguistica"
"23577312","WOOLFIANA","B2","letras_linguistica"
"14151464","WORKING PAPERS EM LINGU�STICA (IMPRESSO)","B1","letras_linguistica"
"24226017","ZAMA","C ","letras_linguistica"
"18693660","ZEITSCHRIFT F�R INTERKULTURELLE GERMANISTIK","B3","letras_linguistica"
"22137467","ADVANCED MODELING AND SIMULATION IN ENGINEERING SCIENCES","B3","matematica_probabilidade_e_estatistica"
"16879139","ADVANCES IN MATHEMATICAL PHYSICS","B5","matematica_probabilidade_e_estatistica"
"13434373","ADVANCES IN MATHEMATICAL SCIENCES AND APPLICATIONS","B2","matematica_probabilidade_e_estatistica"
"2191950X","ADVANCES IN NONLINEAR ANALYSIS","B1","matematica_probabilidade_e_estatistica"
"14722739","ALGEBRAIC AND GEOMETRIC TOPOLOGY (ONLINE)","A2","matematica_probabilidade_e_estatistica"
"07419937","ALGEBRAS, GROUPS AND GEOMETRIES","B5","matematica_probabilidade_e_estatistica"
"10886826","AMERICAN MATHEMATICAL SOCIETY. PROCEEDINGS","A2","matematica_probabilidade_e_estatistica"
"18097189","ANAIS - SIMPEP","C ","matematica_probabilidade_e_estatistica"
