ISSN,T�tulo,Estrato
2331-1991,ADVANCES IN ENTOMOLOGY,B4
2328-4854,ADVANCES IN ENZYME RESEARCH (ONLINE),C 
1340-3141,ADVANCES IN EXERCISE AND SPORTS PHYSIOLOGY,C 
0065-2598,ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY,B1
2357-8181,ADVANCES IN FORESTRY SCIENCE,B4
0065-2687,ADVANCES IN GEOPHYSICS,A1
1680-7340,ADVANCES IN GEOSCIENCES (PRINT),B2
1687-7357,ADVANCES IN HIGH ENERGY PHYSICS,B1
1687-7357,ADVANCES IN HIGH ENERGY PHYSICS,B1
2164-2648,ADVANCES IN INFECTIOUS DISEASES,B4
2164-2656,ADVANCES IN INFECTIOUS DISEASES,B4
0938-5495,ADVANCES IN KNOWLEDGE ORGANIZATION,B3
1687-8434,ADVANCES IN MATERIALS SCIENCE AND ENGINEERING (PRINT),B1
1687-8132,ADVANCES IN MECHANICAL ENGINEERING,B2
2165-3402,ADVANCES IN MICROBIOLOGY,B5
1687-9147,ADVANCES IN OPERATIONS RESEARCH,B2
1522-1229,ADVANCES IN PHYSIOLOGY EDUCATION (ONLINE),B1
1403-8196,ADVANCES IN PHYSIOTHERAPY,B3
1662-0356,ADVANCES IN SCIENCE AND TECHNOLOGY (ONLINE),B4
0273-1177,ADVANCES IN SPACE RESEARCH,B1
0309-1708,ADVANCES IN WATER RESOURCES,A1
1518-3769,ADVIR (ASDUERJ),B4
1984-5634,AEDOS: REVISTA DO CORPO DISCENTE DO PROGRAMA DE P�S-GRADUA��O EM HIST�RIA DA UFRGS (ONLINE),B2
0278-6826,AEROSOL SCIENCE AND TECHNOLOGY (PRINT),A2
0364-216X,AESTHETIC PLASTIC SURGERY,B1
1434-8411,AEU. INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS (PRINT),B2
0123-8884,AFFECTIO SOCIETATIS,B4
2525-3441,AFLUENTE,B5
1991-637X,AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,B3
1684-5315,AFRICAN JOURNAL OF BIOTECHNOLOGY,B3
1993-8233,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,B3
1993-8233,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,B3
1993-8233,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,B3
1996-0794,AFRICAN JOURNAL OF FOOD SCIENCE,B5
2141-5455,AFRICAN JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,B5
1996-0808,AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH,B3
1996-0816,AFRICAN JOURNAL OF PHARMACY AND PHARMACOLOGY,B3
2237-8839,AFRICANIAS.COM,C 
1981-1411,AFRO-�SIA,B1
1981-1411,AFROASIA,B1
0002-0591,AFRO-�SIA (UFBA. IMPRESSO),B1
1048-9959,AFTE JOURNAL,B3
1130-3557,AGALIA (A CORUNHA),A2
1522-936X,AGBIOFORUM - THE JOURNAL OF AGROBIOTECHNOLOGY MANAGEMENT & ECONOMICS,B3
0161-9152,AGE,A2
0002-0729,AGE AND AGEING,A1
1568-1637,AGEING RESEARCH REVIEWS (PRINT),A1
2318-8499,AGENDA POL�TICA,B4
1981-9862,AGENDA SOCIAL (UENF),B3
1945-4589,AGING (ALBANY),A1
2152-5250,AGING AND DISEASE,A1
1720-8319,AGING CLINICAL AND EXPERIMENTAL RESEARCH,B1
1594-0667,AGING CLINICAL AND EXPERIMENTAL RESEARCH (TESTO STAMPATO),B1
1368-5538,AGING MALE,B1
2384-9045,"AGON - RIVISTA INTERNAZIONALE DI STUDI CULTURALI, LINGUISTICI E LETTERARI",B3
1516-1498,�GORA ( PPGTP/UFRJ),A2
2237-9010,�GORA : REVISTA DE DIVULGA��O CIENT�FICA,C 
0103-3557,AGORA (FLORIANOPOLIS),B3
1989-7200,AGORA PARA LA EDUCACION FISICA Y EL DEPORTE,B2
1982-6737,�GORA (UNISC. ONLINE),B3
1808-1150,AGR�RIA (S�O PAULO. ONLINE),B3
2357-9951,AGRARIAN ACADEMY,B4
1984-2538,AGRARIAN (DOURADOS. ONLINE),B2
2277-9760,AGRARIAN SOUTH: JOURNAL OF POLITICAL ECONOMY,B4
1887-9292,AGRICULTURA FAMILIAR EN ESPA�A,B5
1414-0810,AGRICULTURA FAMILIAR (UFPA),B4
0168-1923,AGRICULTURAL AND FOREST METEOROLOGY (PRINT),A1
1805-9295,AGRICULTURAL ECONOMICS (AGRICECON),B2
2156-8553,AGRICULTURAL SCIENCES,B4
2156-8561,AGRICULTURAL SCIENCES,B4
0308-521X,AGRICULTURAL SYSTEMS,A2
0378-3774,AGRICULTURAL WATER MANAGEMENT (PRINT),A2
2077-0472,AGRICULTURE,B2
0167-8809,"AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",A1
0167-8809,"AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT)",A1
1316-0354,AGROALIMENTARIA (CARACAS),B2
0100-4298,AGROANALYSIS (FGV),B4
1405-3195,AGROCIENCIA (MONTECILLO),B2
1519-1060,AGROECOLOGIA E DESENVOLVIMENTO RURAL SUSTENT�VEL,B4
1990-2012,AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT),B2
2525-6920,AGROFORESTALIS NEWS,B5
1572-9680,AGROFORESTRY SYSTEMS,B1
0167-4366,AGROFORESTRY SYSTEMS,B1
0167-4366,AGROFORESTRY SYSTEMS (PRINT),B1
1982-8470,AGRO@MBIENTE ON-LINE,B3
0120-9965,AGRONOMIA COLOMBIANA,B2
0002-1962,AGRONOMY JOURNAL (PRINT),B1
2525-877X,AGROPAMPA: REVISTA DE GEST�O DO AGRONEG�CIO,B5
0103-0779,AGROPECU�RIA CATARINENSE,B4
